node_1,node_2
0,1610
0,2054
0,4627
0,5232
0,5441
2054,3563
2054,4533
2054,5232
2054,5441
2054,6121
2054,8893
4627,6614
5232,3563
5232,4533
5232,6121
5232,6837
5232,8893
5441,9414
1,145
1,1143
1,1716
1,1812
1,3291
1,3855
1,4085
1,4714
1,4737
1,4999
1,5025
1,5285
1,5525
1,6038
1,6075
1,6740
1,7517
1,7608
1,8085
1,8188
1,8565
1,9331
1,9375
1,9409
1,9772
1,10807
1,10896
145,207
145,1143
145,1410
145,1492
145,2246
145,3626
145,4189
145,5025
145,5848
145,5990
145,6155
145,7592
145,8565
145,9409
145,10844
1143,337
1143,578
1143,1492
1143,5025
1143,5752
1143,5990
1143,7592
1143,9458
1716,16
1716,939
1716,1812
1716,2452
1716,3291
1716,3520
1716,3855
1716,4085
1716,4158
1716,4714
1716,4737
1716,4958
1716,4999
1716,5285
1716,5519
1716,5551
1716,5726
1716,6038
1716,6212
1716,6740
1716,7306
1716,8188
1716,8246
1716,8635
1716,8720
1716,8868
1716,8977
1716,9409
1716,9940
1716,10402
1716,10896
1812,939
1812,3291
1812,3825
1812,3855
1812,3905
1812,4158
1812,4714
1812,4737
1812,5285
1812,5519
1812,5551
1812,5726
1812,6038
1812,6212
1812,6740
1812,7134
1812,7160
1812,7517
1812,8085
1812,8188
1812,8246
1812,8635
1812,8722
1812,8868
1812,8977
1812,10402
1812,10993
3291,557
3291,1923
3291,2408
3291,2452
3291,2465
3291,2813
3291,3304
3291,3520
3291,3855
3291,3983
3291,4085
3291,4108
3291,4606
3291,4737
3291,5025
3291,5057
3291,5285
3291,5303
3291,5519
3291,5525
3291,5950
3291,6038
3291,6212
3291,6740
3291,7306
3291,7886
3291,8188
3291,8204
3291,8275
3291,8295
3291,8565
3291,8774
3291,9275
3291,9409
3291,9645
3291,9940
3291,10282
3291,10807
3291,10946
3855,16
3855,2452
3855,2465
3855,2604
3855,3520
3855,3849
3855,4085
3855,4207
3855,4737
3855,4999
3855,5285
3855,5519
3855,5551
3855,5726
3855,5993
3855,6038
3855,6212
3855,6609
3855,6740
3855,7594
3855,7632
3855,8188
3855,8635
3855,8720
3855,8868
3855,8977
3855,9940
3855,10794
3855,10896
4085,204
4085,467
4085,516
4085,1495
4085,2217
4085,2576
4085,2813
4085,2940
4085,2959
4085,3217
4085,3825
4085,4005
4085,4737
4085,5285
4085,5519
4085,5520
4085,5525
4085,5935
4085,6038
4085,6212
4085,6609
4085,6635
4085,6740
4085,7306
4085,7795
4085,7886
4085,8188
4085,8296
4085,8774
4085,8937
4085,9078
4085,9176
4085,9409
4085,9645
4085,9772
4085,9940
4085,10213
4085,10246
4085,10639
4085,10801
4085,10807
4085,10896
4714,2518
4714,2764
4714,3471
4714,3905
4714,5151
4714,5285
4714,5551
4714,6075
4714,6212
4714,6740
4714,7517
4714,8085
4714,8722
4714,8937
4714,9331
4714,9375
4714,10111
4714,10807
4714,10896
4737,264
4737,557
4737,815
4737,1923
4737,2408
4737,3727
4737,4108
4737,4606
4737,4652
4737,5025
4737,5091
4737,5285
4737,5525
4737,5812
4737,5950
4737,6038
4737,6212
4737,6740
4737,7306
4737,7474
4737,7886
4737,8085
4737,8188
4737,8275
4737,8507
4737,8538
4737,8722
4737,9275
4737,9409
4737,9645
4737,9940
4737,10282
4737,10801
4737,10807
4737,10946
4999,1986
4999,2452
4999,2538
4999,2627
4999,3692
4999,3845
4999,3864
4999,5406
4999,5551
4999,5726
4999,5993
4999,6038
4999,7024
4999,7594
4999,8188
4999,8720
4999,8977
4999,10794
5025,264
5025,543
5025,557
5025,578
5025,1426
5025,1605
5025,2766
5025,5990
5025,8565
5025,9409
5025,9458
5025,10282
5025,10779
5025,10946
5285,16
5285,471
5285,2452
5285,2465
5285,2959
5285,3217
5285,3304
5285,3520
5285,3849
5285,5519
5285,5993
5285,6038
5285,6212
5285,6609
5285,6740
5285,6952
5285,7306
5285,7886
5285,8188
5285,8204
5285,8295
5285,8565
5285,8774
5285,9176
5285,9409
5285,9772
5285,9940
5285,10756
5285,10896
5525,204
5525,467
5525,815
5525,1074
5525,1923
5525,1925
5525,1965
5525,2217
5525,2355
5525,2935
5525,2940
5525,3727
5525,4420
5525,4511
5525,5074
5525,5153
5525,5240
5525,5305
5525,5914
5525,5950
5525,6038
5525,7474
5525,7514
5525,7795
5525,7926
5525,7942
5525,8085
5525,8275
5525,8286
5525,8319
5525,8538
5525,8722
5525,8909
5525,9078
5525,9253
5525,9409
5525,9480
5525,9645
5525,9696
5525,9772
5525,10213
5525,10246
5525,10580
5525,10801
5525,10807
6038,264
6038,557
6038,815
6038,1923
6038,2408
6038,2452
6038,2813
6038,2940
6038,3068
6038,3520
6038,3727
6038,3815
6038,4108
6038,4606
6038,4652
6038,5091
6038,5519
6038,5812
6038,5950
6038,6185
6038,6740
6038,7306
6038,7474
6038,7886
6038,7926
6038,8085
6038,8146
6038,8188
6038,8275
6038,8297
6038,8507
6038,8538
6038,8722
6038,9275
6038,9409
6038,9645
6038,9940
6038,10801
6038,10807
6038,10946
6075,1904
6075,1925
6075,2518
6075,5542
6075,8279
6075,8315
6075,9331
6075,9375
6075,9772
6075,10580
6075,10807
6075,10896
6740,16
6740,939
6740,1495
6740,3825
6740,4158
6740,4958
6740,5151
6740,5519
6740,5551
6740,5726
6740,6212
6740,7259
6740,7632
6740,8188
6740,8246
6740,8635
6740,8868
6740,8937
6740,8977
6740,9940
6740,10896
7517,119
7517,2518
7517,2533
7517,2935
7517,3905
7517,5551
7517,7387
7517,7608
7517,8067
7517,8085
7517,8574
7517,8722
7517,9375
7517,10402
7517,10799
7517,10807
7517,10993
7608,119
7608,2935
7608,4919
7608,8067
7608,8085
7608,8574
7608,9375
7608,10799
7608,10807
8085,563
8085,1074
8085,1925
8085,2456
8085,2518
8085,2519
8085,2533
8085,2784
8085,2935
8085,3905
8085,5551
8085,7160
8085,7387
8085,7474
8085,8067
8085,8538
8085,8574
8085,8722
8085,9375
8085,9485
8085,10580
8085,10799
8085,10807
8188,16
8188,58
8188,202
8188,557
8188,2408
8188,2452
8188,2465
8188,2497
8188,3304
8188,3520
8188,3662
8188,3815
8188,3983
8188,5057
8188,5303
8188,5519
8188,5551
8188,5726
8188,6212
8188,7306
8188,7594
8188,8275
8188,8635
8188,8720
8188,8868
8188,8977
8188,9409
8188,9940
8565,207
8565,789
8565,1410
8565,1492
8565,3304
8565,5042
8565,5754
8565,5848
8565,6615
8565,6952
8565,8204
8565,9331
8565,9409
8565,10756
8565,10812
9331,3799
9331,8242
9331,9375
9375,1904
9375,1925
9375,2518
9375,8067
9375,9323
9375,10580
9375,10799
9375,10807
9409,471
9409,557
9409,1410
9409,1916
9409,2465
9409,3217
9409,3304
9409,4189
9409,5042
9409,5585
9409,5754
9409,5848
9409,6615
9409,6952
9409,7886
9409,8204
9409,8295
9409,8319
9409,8774
9409,9140
9409,9176
9409,9428
9409,9772
9409,9940
9409,10756
9409,10807
9409,10896
9772,471
9772,775
9772,1904
9772,1925
9772,2231
9772,3217
9772,4511
9772,6609
9772,6952
9772,7381
9772,7795
9772,9528
9772,10580
9772,10671
9772,10807
9772,10896
10807,1173
10807,1925
10807,2355
10807,2518
10807,2764
10807,2935
10807,5153
10807,5991
10807,7387
10807,7474
10807,7926
10807,8067
10807,8319
10807,8538
10807,8722
10807,9078
10807,9480
10807,9645
10807,9696
10807,10580
10807,10799
10896,1495
10896,2217
10896,3217
10896,3471
10896,3849
10896,5151
10896,5519
10896,6212
10896,6609
10896,6952
10896,7009
10896,7876
10896,8296
10896,8315
10896,8937
10896,9528
10896,9940
10896,10756
2,44
2,217
2,218
2,329
2,605
2,644
2,689
2,914
2,970
2,1494
2,1584
2,1602
2,1701
2,1841
2,1966
2,2098
2,2352
2,2353
2,2404
2,2428
2,2530
2,2631
2,2726
2,3020
2,3036
2,3263
2,3377
2,3536
2,3585
2,3612
2,3742
2,3788
2,3903
2,3923
2,3947
2,3953
2,3969
2,4192
2,4210
2,4415
2,4601
2,4672
2,4684
2,4692
2,4794
2,4844
2,5216
2,5276
2,5286
2,5680
2,5736
2,5836
2,5875
2,5884
2,5959
2,6189
2,6616
2,6623
2,6658
2,6750
2,6870
2,6893
2,6939
2,6961
2,7361
2,7365
2,7371
2,7506
2,7588
2,7652
2,7921
2,8004
2,8276
2,8278
2,8559
2,8849
2,8951
2,9083
2,9272
2,9349
2,9648
2,9673
2,9744
2,9783
2,9839
2,9863
2,10075
2,10086
2,10102
2,10328
2,10419
2,10550
2,10771
2,10775
44,56
44,151
44,156
44,248
44,250
44,748
44,781
44,852
44,883
44,891
44,1086
44,1652
44,1746
44,1811
44,1917
44,1934
44,1957
44,1961
44,2098
44,2266
44,2352
44,2428
44,2590
44,2695
44,2702
44,2946
44,3022
44,3253
44,3310
44,3460
44,3513
44,3893
44,3903
44,3923
44,3955
44,3969
44,4209
44,4692
44,5021
44,5109
44,5690
44,5836
44,6028
44,6138
44,6187
44,6189
44,6406
44,6470
44,6658
44,6870
44,6930
44,6937
44,6939
44,6961
44,7128
44,7184
44,7361
44,7364
44,7371
44,7506
44,7577
44,7597
44,7652
44,8180
44,8621
44,8696
44,8711
44,8849
44,9036
44,9042
44,9147
44,9148
44,9202
44,9241
